source_group,source_path,snapshot_path,bytes,mtime_utc,sha256,content_role,decision
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/classifier/__init__.py,vendor/legacy_snapshot/candidate_wjx/src/classifier/__init__.py,59,2026-07-11T02:21:39+00:00,d3794ab1d7095f08931718c7b6a3fabf375270d4bd095b4cf2681d11fb7cfe14,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/classifier/config.py,vendor/legacy_snapshot/candidate_wjx/src/classifier/config.py,589,2026-07-11T10:15:25.045158+00:00,6f65ade7501ebb2bf119a9ae7f3a5695e794c49dfff41ce236c2886f7ecb6bdc,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/classifier/pair_dataset.py,vendor/legacy_snapshot/candidate_wjx/src/classifier/pair_dataset.py,5107,2026-07-11T10:15:25.045158+00:00,b958c603d36909896684189f478c1fc003939f46860c4fdd734b7f89bf1363dc,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/classifier/pi_resnet.py,vendor/legacy_snapshot/candidate_wjx/src/classifier/pi_resnet.py,3996,2026-07-11T10:15:25.045158+00:00,ed8e4489a9bb4f7719bc3e8c8974210949c17b453e50dd4836636e151eee033c,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/cqt_deit/__init__.py,vendor/legacy_snapshot/candidate_wjx/src/cqt_deit/__init__.py,48,2026-07-11T10:15:25.045158+00:00,cd4dc42d674fa7524fc64e4afc9dedbf3e74a272c53af749c7c2b5241d6c2779,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/cqt_deit/dataset.py,vendor/legacy_snapshot/candidate_wjx/src/cqt_deit/dataset.py,1495,2026-07-11T10:15:25.045158+00:00,21bdcbc655f2cdbd42f00bc8700379baefa1f14b420a69d4550032e574aa3e85,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/cqt_deit/model.py,vendor/legacy_snapshot/candidate_wjx/src/cqt_deit/model.py,1509,2026-07-11T10:15:25.046158+00:00,217166478e453b95bd3a6b37c1414d15fdfa43270ba6c5520c5440c9f10a4998,source,legacy comparison only; exclude from v2 posterior implementation
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/generation/__init__.py,vendor/legacy_snapshot/candidate_wjx/src/generation/__init__.py,52,2026-07-11T02:21:39+00:00,e79e4b9cebe9a6c43483810bf106ef0ec968463dfaca6cbf9fe50c3a0b5f9d6e,source,smoke-only; extract tested physics conventions
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/generation/generate_point_mass_catalog.py,vendor/legacy_snapshot/candidate_wjx/src/generation/generate_point_mass_catalog.py,37349,2026-07-11T10:15:25.046158+00:00,f1d2cb125d79dcd93585fcc5f8a916a3b87d9125e9ec1aed4bf787d20655c948,source,smoke-only; extract tested physics conventions
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/generation/generate_sis_catalog.py,vendor/legacy_snapshot/candidate_wjx/src/generation/generate_sis_catalog.py,37587,2026-07-11T10:15:25.046158+00:00,5c1bf865dc44f664ccdcc2eb4baf3e35262601992a8fabc85d7fb41e174f1908,source,smoke-only; extract tested physics conventions
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/src/generation/generate_unlensed_catalog.py,vendor/legacy_snapshot/candidate_wjx/src/generation/generate_unlensed_catalog.py,9269,2026-07-11T10:15:25.046158+00:00,a3f98e5162fb77c9a79c6dbf1513848e387e4477af9a7a0699aa9275636800fe,source,smoke-only; extract tested physics conventions
